package_name,banned_versions,severity,weekly_downloads,first_detected,patient_zero,description,attack_vector,priority
@commute/market-data-chartjs,2.3.1,medium,1000,2025-09-15,false,Compromised package: @commute/market-data-chartjs,postinstall script,3
@dev-blinq/ai-qa-logic,1.0.19,medium,1000,2025-09-15,false,Compromised package: @dev-blinq/ai-qa-logic,postinstall script,3
@dev-blinq/blinqioclient,1.0.21,medium,1000,2025-09-15,false,Compromised package: @dev-blinq/blinqioclient,postinstall script,3
@dev-blinq/cucumber-js,1.0.131,medium,1000,2025-09-15,false,Compromised package: @dev-blinq/cucumber-js,postinstall script,3
@dev-blinq/cucumber_client,1.0.738,medium,1000,2025-09-15,false,Compromised package: @dev-blinq/cucumber_client,postinstall script,3
@dev-blinq/ui-systems,1.0.93,medium,1000,2025-09-15,false,Compromised package: @dev-blinq/ui-systems,postinstall script,3
@ensdomains/address-encoder,1.1.5,medium,1000,2025-09-15,false,Compromised package: @ensdomains/address-encoder,postinstall script,3
@ensdomains/blacklist,1.0.1,medium,1000,2025-09-15,false,Compromised package: @ensdomains/blacklist,postinstall script,3
@ensdomains/buffer,0.1.2,medium,1000,2025-09-15,false,Compromised package: @ensdomains/buffer,postinstall script,3
@ensdomains/ccip-read-cf-worker,0.0.4,medium,1000,2025-09-15,false,Compromised package: @ensdomains/ccip-read-cf-worker,postinstall script,3
@ensdomains/ccip-read-dns-gateway,0.1.1,medium,1000,2025-09-15,false,Compromised package: @ensdomains/ccip-read-dns-gateway,postinstall script,3
@ensdomains/ccip-read-router,0.0.7,medium,1000,2025-09-15,false,Compromised package: @ensdomains/ccip-read-router,postinstall script,3
@ensdomains/ccip-read-worker-viem,0.0.4,medium,1000,2025-09-15,false,Compromised package: @ensdomains/ccip-read-worker-viem,postinstall script,3
@ensdomains/content-hash,3.0.1,medium,1000,2025-09-15,false,Compromised package: @ensdomains/content-hash,postinstall script,3
@ensdomains/curvearithmetics,1.0.1,medium,1000,2025-09-15,false,Compromised package: @ensdomains/curvearithmetics,postinstall script,3
@ensdomains/cypress-metamask,1.2.1,medium,1000,2025-09-15,false,Compromised package: @ensdomains/cypress-metamask,postinstall script,3
@ensdomains/dnsprovejs,0.5.3,medium,1000,2025-09-15,false,Compromised package: @ensdomains/dnsprovejs,postinstall script,3
@ensdomains/dnssec-oracle-anchors,0.0.2,medium,1000,2025-09-15,false,Compromised package: @ensdomains/dnssec-oracle-anchors,postinstall script,3
@ensdomains/dnssecoraclejs,0.2.9,medium,1000,2025-09-15,false,Compromised package: @ensdomains/dnssecoraclejs,postinstall script,3
@ensdomains/durin,0.1.2,medium,1000,2025-09-15,false,Compromised package: @ensdomains/durin,postinstall script,3
@ensdomains/durin-middleware,0.0.2,medium,1000,2025-09-15,false,Compromised package: @ensdomains/durin-middleware,postinstall script,3
@ensdomains/ens-archived-contracts,0.0.3,medium,1000,2025-09-15,false,Compromised package: @ensdomains/ens-archived-contracts,postinstall script,3
@ensdomains/ens-avatar,1.0.4,medium,1000,2025-09-15,false,Compromised package: @ensdomains/ens-avatar,postinstall script,3
@ensdomains/ens-contracts,1.6.1,medium,1000,2025-09-15,false,Compromised package: @ensdomains/ens-contracts,postinstall script,3
@ensdomains/ens-test-env,1.0.2,medium,1000,2025-09-15,false,Compromised package: @ensdomains/ens-test-env,postinstall script,3
@ensdomains/ens-validation,0.1.1,medium,1000,2025-09-15,false,Compromised package: @ensdomains/ens-validation,postinstall script,3
@ensdomains/ensjs,4.0.3,medium,1000,2025-09-15,false,Compromised package: @ensdomains/ensjs,postinstall script,3
@ensdomains/ensjs-react,0.0.5,medium,1000,2025-09-15,false,Compromised package: @ensdomains/ensjs-react,postinstall script,3
@ensdomains/eth-ens-namehash,2.0.16,medium,1000,2025-09-15,false,Compromised package: @ensdomains/eth-ens-namehash,postinstall script,3
@ensdomains/hackathon-registrar,1.0.5,medium,1000,2025-09-15,false,Compromised package: @ensdomains/hackathon-registrar,postinstall script,3
@ensdomains/hardhat-chai-matchers-viem,0.1.15,medium,1000,2025-09-15,false,Compromised package: @ensdomains/hardhat-chai-matchers-viem,postinstall script,3
@ensdomains/hardhat-toolbox-viem-extended,0.0.6,medium,1000,2025-09-15,false,Compromised package: @ensdomains/hardhat-toolbox-viem-extended,postinstall script,3
@ensdomains/mock,2.1.52,medium,1000,2025-09-15,false,Compromised package: @ensdomains/mock,postinstall script,3
@ensdomains/name-wrapper,1.0.1,medium,1000,2025-09-15,false,Compromised package: @ensdomains/name-wrapper,postinstall script,3
@ensdomains/offchain-resolver-contracts,0.2.2,medium,1000,2025-09-15,false,Compromised package: @ensdomains/offchain-resolver-contracts,postinstall script,3
@ensdomains/op-resolver-contracts,0.0.2,medium,1000,2025-09-15,false,Compromised package: @ensdomains/op-resolver-contracts,postinstall script,3
@ensdomains/react-ens-address,0.0.32,medium,1000,2025-09-15,false,Compromised package: @ensdomains/react-ens-address,postinstall script,3
@ensdomains/renewal,0.0.13,medium,1000,2025-09-15,false,Compromised package: @ensdomains/renewal,postinstall script,3
@ensdomains/renewal-widget,0.1.10,medium,1000,2025-09-15,false,Compromised package: @ensdomains/renewal-widget,postinstall script,3
@ensdomains/reverse-records,1.0.1,medium,1000,2025-09-15,false,Compromised package: @ensdomains/reverse-records,postinstall script,3
@ensdomains/server-analytics,0.0.2,medium,1000,2025-09-15,false,Compromised package: @ensdomains/server-analytics,postinstall script,3
@ensdomains/solsha1,0.0.4,medium,1000,2025-09-15,false,Compromised package: @ensdomains/solsha1,postinstall script,3
@ensdomains/subdomain-registrar,0.2.4,medium,1000,2025-09-15,false,Compromised package: @ensdomains/subdomain-registrar,postinstall script,3
@ensdomains/test-utils,1.3.1,medium,1000,2025-09-15,false,Compromised package: @ensdomains/test-utils,postinstall script,3
@ensdomains/thorin,0.6.51,medium,1000,2025-09-15,false,Compromised package: @ensdomains/thorin,postinstall script,3
@ensdomains/ui,3.4.6,medium,1000,2025-09-15,false,Compromised package: @ensdomains/ui,postinstall script,3
@ensdomains/unicode-confusables,0.1.1,medium,1000,2025-09-15,false,Compromised package: @ensdomains/unicode-confusables,postinstall script,3
@ensdomains/unruggable-gateways,0.0.3,medium,1000,2025-09-15,false,Compromised package: @ensdomains/unruggable-gateways,postinstall script,3
@ensdomains/vite-plugin-i18next-loader,4.0.4,medium,1000,2025-09-15,false,Compromised package: @ensdomains/vite-plugin-i18next-loader,postinstall script,3
@ensdomains/web3modal,1.10.2,medium,1000,2025-09-15,false,Compromised package: @ensdomains/web3modal,postinstall script,3
@everreal/react-charts,"2.0.2, 2.0.1",medium,1000,2025-09-15,false,Compromised package: @everreal/react-charts,postinstall script,3
@everreal/validate-esmoduleinterop-imports,"1.4.5, 1.4.4",medium,1000,2025-09-15,false,Compromised package: @everreal/validate-esmoduleinterop-imports,postinstall script,3
@everreal/web-analytics,"0.0.1, 0.0.2",medium,1000,2025-09-15,false,Compromised package: @everreal/web-analytics,postinstall script,3
@faq-component/core,0.0.4,medium,1000,2025-09-15,false,Compromised package: @faq-component/core,postinstall script,3
@faq-component/react,1.0.1,medium,1000,2025-09-15,false,Compromised package: @faq-component/react,postinstall script,3
@fishingbooker/browser-sync-plugin,1.0.5,medium,1000,2025-09-15,false,Compromised package: @fishingbooker/browser-sync-plugin,postinstall script,3
@fishingbooker/react-loader,1.0.7,medium,1000,2025-09-15,false,Compromised package: @fishingbooker/react-loader,postinstall script,3
@fishingbooker/react-pagination,2.0.6,medium,1000,2025-09-15,false,Compromised package: @fishingbooker/react-pagination,postinstall script,3
@fishingbooker/react-raty,2.0.1,medium,1000,2025-09-15,false,Compromised package: @fishingbooker/react-raty,postinstall script,3
@fishingbooker/react-swiper,0.1.5,medium,1000,2025-09-15,false,Compromised package: @fishingbooker/react-swiper,postinstall script,3
@hapheus/n8n-nodes-pgp,1.5.1,medium,1000,2025-09-15,false,Compromised package: @hapheus/n8n-nodes-pgp,postinstall script,3
@hover-design/core,0.0.1,medium,1000,2025-09-15,false,Compromised package: @hover-design/core,postinstall script,3
@hover-design/react,0.2.1,medium,1000,2025-09-15,false,Compromised package: @hover-design/react,postinstall script,3
@huntersofbook/auth-vue,0.4.2,medium,1000,2025-09-15,false,Compromised package: @huntersofbook/auth-vue,postinstall script,3
@huntersofbook/core,0.5.1,medium,1000,2025-09-15,false,Compromised package: @huntersofbook/core,postinstall script,3
@huntersofbook/core-nuxt,0.4.2,medium,1000,2025-09-15,false,Compromised package: @huntersofbook/core-nuxt,postinstall script,3
@huntersofbook/form-naiveui,0.5.1,medium,1000,2025-09-15,false,Compromised package: @huntersofbook/form-naiveui,postinstall script,3
@huntersofbook/i18n,0.8.2,medium,1000,2025-09-15,false,Compromised package: @huntersofbook/i18n,postinstall script,3
@huntersofbook/ui,0.5.1,medium,1000,2025-09-15,false,Compromised package: @huntersofbook/ui,postinstall script,3
@hyperlook/telemetry-sdk,1.0.19,medium,1000,2025-09-15,false,Compromised package: @hyperlook/telemetry-sdk,postinstall script,3
@ifelsedeveloper/protocol-contracts-svm-idl,"0.1.2, 0.1.3",medium,1000,2025-09-15,false,Compromised package: @ifelsedeveloper/protocol-contracts-svm-idl,postinstall script,3
@ifings/design-system,4.9.2,medium,1000,2025-09-15,false,Compromised package: @ifings/design-system,postinstall script,3
@ifings/metatron3,0.1.5,medium,1000,2025-09-15,false,Compromised package: @ifings/metatron3,postinstall script,3
@jayeshsadhwani/telemetry-sdk,1.0.14,medium,1000,2025-09-15,false,Compromised package: @jayeshsadhwani/telemetry-sdk,postinstall script,3
@kvytech/cli,0.0.7,medium,1000,2025-09-15,false,Compromised package: @kvytech/cli,postinstall script,3
@kvytech/components,0.0.2,medium,1000,2025-09-15,false,Compromised package: @kvytech/components,postinstall script,3
@kvytech/habbit-e2e-test,0.0.2,medium,1000,2025-09-15,false,Compromised package: @kvytech/habbit-e2e-test,postinstall script,3
@kvytech/medusa-plugin-announcement,0.0.8,medium,1000,2025-09-15,false,Compromised package: @kvytech/medusa-plugin-announcement,postinstall script,3
@kvytech/medusa-plugin-management,0.0.5,medium,1000,2025-09-15,false,Compromised package: @kvytech/medusa-plugin-management,postinstall script,3
@kvytech/medusa-plugin-newsletter,0.0.5,medium,1000,2025-09-15,false,Compromised package: @kvytech/medusa-plugin-newsletter,postinstall script,3
@kvytech/medusa-plugin-product-reviews,0.0.9,medium,1000,2025-09-15,false,Compromised package: @kvytech/medusa-plugin-product-reviews,postinstall script,3
@kvytech/medusa-plugin-promotion,0.0.2,medium,1000,2025-09-15,false,Compromised package: @kvytech/medusa-plugin-promotion,postinstall script,3
@kvytech/web,0.0.2,medium,1000,2025-09-15,false,Compromised package: @kvytech/web,postinstall script,3
@lessondesk/api-client,"9.12.2, 9.12.3",medium,1000,2025-09-15,false,Compromised package: @lessondesk/api-client,postinstall script,3
@lessondesk/babel-preset,1.0.1,medium,1000,2025-09-15,false,Compromised package: @lessondesk/babel-preset,postinstall script,3
@lessondesk/electron-group-api-client,1.0.3,medium,1000,2025-09-15,false,Compromised package: @lessondesk/electron-group-api-client,postinstall script,3
@lessondesk/eslint-config,1.4.2,medium,1000,2025-09-15,false,Compromised package: @lessondesk/eslint-config,postinstall script,3
@lessondesk/material-icons,1.0.3,medium,1000,2025-09-15,false,Compromised package: @lessondesk/material-icons,postinstall script,3
@lessondesk/react-table-context,2.0.4,medium,1000,2025-09-15,false,Compromised package: @lessondesk/react-table-context,postinstall script,3
@lessondesk/schoolbus,"5.2.2, 5.2.3",medium,1000,2025-09-15,false,Compromised package: @lessondesk/schoolbus,postinstall script,3
@livecms/live-edit,0.0.32,medium,1000,2025-09-15,false,Compromised package: @livecms/live-edit,postinstall script,3
@livecms/nuxt-live-edit,1.9.2,medium,1000,2025-09-15,false,Compromised package: @livecms/nuxt-live-edit,postinstall script,3
@lokeswari-satyanarayanan/rn-zustand-expo-template,1.0.9,medium,1000,2025-09-15,false,Compromised package: @lokeswari-satyanarayanan/rn-zustand-expo-template,postinstall script,3
@louisle2/core,1.0.1,medium,1000,2025-09-15,false,Compromised package: @louisle2/core,postinstall script,3
@louisle2/cortex-js,0.1.6,medium,1000,2025-09-15,false,Compromised package: @louisle2/cortex-js,postinstall script,3
@lpdjs/firestore-repo-service,1.0.1,medium,1000,2025-09-15,false,Compromised package: @lpdjs/firestore-repo-service,postinstall script,3
@lui-ui/lui-nuxt,0.1.1,medium,1000,2025-09-15,false,Compromised package: @lui-ui/lui-nuxt,postinstall script,3
@lui-ui/lui-tailwindcss,0.1.2,medium,1000,2025-09-15,false,Compromised package: @lui-ui/lui-tailwindcss,postinstall script,3
@lui-ui/lui-vue,1.0.13,medium,1000,2025-09-15,false,Compromised package: @lui-ui/lui-vue,postinstall script,3
@markvivanco/app-version-checker,"1.0.2, 1.0.1",medium,1000,2025-09-15,false,Compromised package: @markvivanco/app-version-checker,postinstall script,3
@mcp-use/cli,"2.2.7, 2.2.6",medium,1000,2025-09-15,false,Compromised package: @mcp-use/cli,postinstall script,3
@mcp-use/inspector,"0.6.3, 0.6.2",medium,1000,2025-09-15,false,Compromised package: @mcp-use/inspector,postinstall script,3
@mcp-use/mcp-use,"1.0.2, 1.0.1",medium,1000,2025-09-15,false,Compromised package: @mcp-use/mcp-use,postinstall script,3
@micado-digital/stadtmarketing-kufstein-external,1.9.1,medium,1000,2025-09-15,false,Compromised package: @micado-digital/stadtmarketing-kufstein-external,postinstall script,3
@mizzle-dev/orm,0.0.2,medium,1000,2025-09-15,false,Compromised package: @mizzle-dev/orm,postinstall script,3
@mparpaillon/connector-parse,1.0.1,medium,1000,2025-09-15,false,Compromised package: @mparpaillon/connector-parse,postinstall script,3
@mparpaillon/imagesloaded,4.1.2,medium,1000,2025-09-15,false,Compromised package: @mparpaillon/imagesloaded,postinstall script,3
@mparpaillon/page,1.0.1,medium,1000,2025-09-15,false,Compromised package: @mparpaillon/page,postinstall script,3
@ntnx/passport-wso2,0.0.3,medium,1000,2025-09-15,false,Compromised package: @ntnx/passport-wso2,postinstall script,3
@ntnx/t,0.0.101,medium,1000,2025-09-15,false,Compromised package: @ntnx/t,postinstall script,3
@oku-ui/accordion,0.6.2,medium,1000,2025-09-15,false,Compromised package: @oku-ui/accordion,postinstall script,3
@oku-ui/alert-dialog,0.6.2,medium,1000,2025-09-15,false,Compromised package: @oku-ui/alert-dialog,postinstall script,3
@oku-ui/arrow,0.6.2,medium,1000,2025-09-15,false,Compromised package: @oku-ui/arrow,postinstall script,3
@oku-ui/aspect-ratio,0.6.2,medium,1000,2025-09-15,false,Compromised package: @oku-ui/aspect-ratio,postinstall script,3
@oku-ui/avatar,0.6.2,medium,1000,2025-09-15,false,Compromised package: @oku-ui/avatar,postinstall script,3
@oku-ui/checkbox,0.6.3,medium,1000,2025-09-15,false,Compromised package: @oku-ui/checkbox,postinstall script,3
@oku-ui/collapsible,0.6.2,medium,1000,2025-09-15,false,Compromised package: @oku-ui/collapsible,postinstall script,3
@oku-ui/collection,0.6.2,medium,1000,2025-09-15,false,Compromised package: @oku-ui/collection,postinstall script,3
@oku-ui/dialog,0.6.2,medium,1000,2025-09-15,false,Compromised package: @oku-ui/dialog,postinstall script,3
@oku-ui/direction,0.6.2,medium,1000,2025-09-15,false,Compromised package: @oku-ui/direction,postinstall script,3
@oku-ui/dismissable-layer,0.6.2,medium,1000,2025-09-15,false,Compromised package: @oku-ui/dismissable-layer,postinstall script,3
@oku-ui/focus-guards,0.6.2,medium,1000,2025-09-15,false,Compromised package: @oku-ui/focus-guards,postinstall script,3
