package_name,banned_versions,severity,weekly_downloads,first_detected,patient_zero,description,attack_vector,priority
eslint-config-crowdstrike-node,"4.0.3, 4.0.4",medium,1000,2025-09-15,false,Compromised package: eslint-config-crowdstrike-node,postinstall script,3
eslint-config-teselagen,"6.1.7, 6.1.8",medium,1000,2025-09-15,false,Compromised package: eslint-config-teselagen,postinstall script,3
globalize-rpk,1.7.4,medium,1000,2025-09-15,false,Compromised package: globalize-rpk,postinstall script,3
graphql-sequelize-teselagen,"5.3.8, 5.3.9",medium,1000,2025-09-15,false,Compromised package: graphql-sequelize-teselagen,postinstall script,3
html-to-base64-image,1.0.2,medium,1000,2025-09-15,false,Compromised package: html-to-base64-image,postinstall script,3
json-rules-engine-simplified,"0.2.1, 0.2.2, 0.2.3, 0.2.4",medium,1000,2025-09-15,false,Compromised package: json-rules-engine-simplified,postinstall script,3
jumpgate,0.0.2,medium,1000,2025-09-15,false,Compromised package: jumpgate,postinstall script,3
koa2-swagger-ui,"5.11.2, 5.11.1",medium,1000,2025-09-15,false,Compromised package: koa2-swagger-ui,postinstall script,3
mcfly-semantic-release,1.3.1,medium,1000,2025-09-15,false,Compromised package: mcfly-semantic-release,postinstall script,3
mcp-knowledge-base,0.0.2,medium,1000,2025-09-15,false,Compromised package: mcp-knowledge-base,postinstall script,3
mcp-knowledge-graph,1.2.1,medium,1000,2025-09-15,false,Compromised package: mcp-knowledge-graph,postinstall script,3
mobioffice-cli,1.0.3,medium,1000,2025-09-15,false,Compromised package: mobioffice-cli,postinstall script,3
monorepo-next,"13.0.1, 13.0.2",medium,1000,2025-09-15,false,Compromised package: monorepo-next,postinstall script,3
mstate-angular,0.4.4,medium,1000,2025-09-15,false,Compromised package: mstate-angular,postinstall script,3
mstate-cli,0.4.7,medium,1000,2025-09-15,false,Compromised package: mstate-cli,postinstall script,3
mstate-dev-react,1.1.1,medium,1000,2025-09-15,false,Compromised package: mstate-dev-react,postinstall script,3
mstate-react,1.6.5,medium,1000,2025-09-15,false,Compromised package: mstate-react,postinstall script,3
ng-imports-checker,"0.0.10, 0.0.9",medium,1000,2025-09-15,false,Compromised package: ng-imports-checker,postinstall script,3
ng2-file-upload,"8.0.3, 7.0.2, 7.0.3, 8.0.1, 8.0.2, 9.0.1",medium,1000,2025-09-15,false,Compromised package: ng2-file-upload,postinstall script,3
ngx-bootstrap,"18.1.4, 19.0.3, 20.0.4, 20.0.5, 20.0.6, 19.0.4, 20.0.3",critical,300000,2025-09-15,false,Compromised package: ngx-bootstrap,postinstall script,1
ngx-color,"10.0.2, 10.0.1",high,20000,2025-09-15,false,Compromised package: ngx-color,postinstall script,2
ngx-toastr,"19.0.2, 19.0.1",high,20000,2025-09-15,false,Compromised package: ngx-toastr,postinstall script,2
ngx-trend,8.0.1,high,20000,2025-09-15,false,Compromised package: ngx-trend,postinstall script,2
ngx-ws,"1.1.5, 1.1.6",high,20000,2025-09-15,false,Compromised package: ngx-ws,postinstall script,2
oradm-to-gql,"35.0.14, 35.0.15",medium,1000,2025-09-15,false,Compromised package: oradm-to-gql,postinstall script,3
oradm-to-sqlz,"1.1.2, 1.1.3, 1.1.4, 1.1.5",medium,1000,2025-09-15,false,Compromised package: oradm-to-sqlz,postinstall script,3
ove-auto-annotate,"0.0.9, 0.0.10",medium,1000,2025-09-15,false,Compromised package: ove-auto-annotate,postinstall script,3
pm2-gelf-json,"1.0.4, 1.0.5",medium,1000,2025-09-15,false,Compromised package: pm2-gelf-json,postinstall script,3
printjs-rpk,1.6.1,medium,1000,2025-09-15,false,Compromised package: printjs-rpk,postinstall script,3
react-complaint-image,"0.0.32, 0.0.33, 0.0.34, 0.0.35",high,15000,2025-09-15,false,Compromised package: react-complaint-image,postinstall script,2
react-jsonschema-form-conditionals,"0.3.18, 0.3.19, 0.3.20, 0.3.21",high,15000,2025-09-15,false,Compromised package: react-jsonschema-form-conditionals,postinstall script,2
react-jsonschema-form-extras,"1.0.1, 1.0.2, 1.0.3, 1.0.4",high,15000,2025-09-15,false,Compromised package: react-jsonschema-form-extras,postinstall script,2
react-jsonschema-rxnt-extras,"0.4.6, 0.4.7, 0.4.8, 0.4.9",high,15000,2025-09-15,false,Compromised package: react-jsonschema-rxnt-extras,postinstall script,2
remark-preset-lint-crowdstrike,"4.0.1, 4.0.2",medium,1000,2025-09-15,false,Compromised package: remark-preset-lint-crowdstrike,postinstall script,3
rxnt-authentication,"0.0.5, 0.0.6, 0.0.3, 0.0.4",critical,150,2025-09-15,true,Compromised package: rxnt-authentication,postinstall script,1
rxnt-healthchecks-nestjs,"1.0.4, 1.0.5, 1.0.2, 1.0.3",medium,1000,2025-09-15,false,Compromised package: rxnt-healthchecks-nestjs,postinstall script,3
rxnt-kue,"1.0.6, 1.0.7, 1.0.4, 1.0.5",medium,1000,2025-09-15,false,Compromised package: rxnt-kue,postinstall script,3
swc-plugin-component-annotate,"1.9.2, 1.9.1",medium,1000,2025-09-15,false,Compromised package: swc-plugin-component-annotate,postinstall script,3
tbssnch,1.0.2,medium,1000,2025-09-15,false,Compromised package: tbssnch,postinstall script,3
teselagen-interval-tree,1.1.2,medium,1000,2025-09-15,false,Compromised package: teselagen-interval-tree,postinstall script,3
tg-client-query-builder,"2.14.4, 2.14.5",medium,1000,2025-09-15,false,Compromised package: tg-client-query-builder,postinstall script,3
tg-redbird,"1.3.1, 1.3.2",medium,1000,2025-09-15,false,Compromised package: tg-redbird,postinstall script,3
tg-seq-gen,"1.0.9, 1.0.10",medium,1000,2025-09-15,false,Compromised package: tg-seq-gen,postinstall script,3
thangved-react-grid,1.0.3,medium,1000,2025-09-15,false,Compromised package: thangved-react-grid,postinstall script,3
ts-gaussian,"3.0.6, 3.0.5",medium,1000,2025-09-15,false,Compromised package: ts-gaussian,postinstall script,3
ts-imports,"1.0.1, 1.0.2",medium,1000,2025-09-15,false,Compromised package: ts-imports,postinstall script,3
tvi-cli,0.1.5,medium,1000,2025-09-15,false,Compromised package: tvi-cli,postinstall script,3
ve-bamreader,"0.2.6, 0.2.7",medium,1000,2025-09-15,false,Compromised package: ve-bamreader,postinstall script,3
ve-editor,"1.0.1, 1.0.2",medium,1000,2025-09-15,false,Compromised package: ve-editor,postinstall script,3
verror-extra,6.0.1,medium,1000,2025-09-15,false,Compromised package: verror-extra,postinstall script,3
